#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ALVG.DE,04-SEP-2001,,End Of Day,,304.5,306.5,295.85,304.2,1105559,,,Verified
ALVG.DE,05-SEP-2001,,End Of Day,,299.54,300,289.66,291.4,1201368,,,Verified
ALVG.DE,06-SEP-2001,,End Of Day,,294.7,295.75,272.35,272.65,2107521,,,Verified
ALVG.DE,07-SEP-2001,,End Of Day,,273.99,275.44,261.52,263.3,2021156,,,Verified
ALVG.DE,08-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,09-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,10-SEP-2001,,End Of Day,,261.51,268,252.51,264.1,1672785,,,Verified
ALVG.DE,11-SEP-2001,,End Of Day,,266.99,273,222,227,3184383,,,Verified
ALVG.DE,12-SEP-2001,,End Of Day,,225,237.3,211.39,230.6,3153532,,,Verified
ALVG.DE,13-SEP-2001,,End Of Day,,232.51,242.33,230,235,2040583,,,Verified
ALVG.DE,14-SEP-2001,,End Of Day,,235.01,241.39,215.5,216.1,1604655,,,Verified
ALVG.DE,15-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,16-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,17-SEP-2001,,End Of Day,,217.5,234.99,212.25,228.5,1920104,,,Verified
ALVG.DE,18-SEP-2001,,End Of Day,,229,242,224.8,239.8,1341042,,,Verified
ALVG.DE,19-SEP-2001,,End Of Day,,240.9,248.94,232.2,234,1993025,,,Verified
ALVG.DE,20-SEP-2001,,End Of Day,,230.4,234,215.8,218,1970213,,,Verified
ALVG.DE,21-SEP-2001,,End Of Day,,210,211,193.68,205.29,4130843,,,Verified
ALVG.DE,22-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,23-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,24-SEP-2001,,End Of Day,,209.3,219.5,207.8,219,1765457,,,Verified
ALVG.DE,25-SEP-2001,,End Of Day,,218.59,228,211.8,221.8,2133402,,,Verified
ALVG.DE,26-SEP-2001,,End Of Day,,221.55,232.08,219.78,226.99,1742490,,,Verified
ALVG.DE,27-SEP-2001,,End Of Day,,226,239.33,225.16,239.33,1408877,,,Verified
ALVG.DE,28-SEP-2001,,End Of Day,,241,250.41,241,248,1574084,,,Verified
ALVG.DE,29-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,30-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,01-OCT-2001,,End Of Day,,250,250,240.63,244.06,942919,,,Verified
ALVG.DE,02-OCT-2001,,End Of Day,,244.6,248,235.61,247,1289452,,,Verified
ALVG.DE,03-OCT-2001,,End Of Day,,245.1,250.5,235.3,250.5,1663823,,,Verified
ALVG.DE,04-OCT-2001,,End Of Day,,250.1,258.01,242.61,250.75,2149222,,,Verified
ALVG.DE,05-OCT-2001,,End Of Day,,248,257.99,244,248.1,1594352,,,Verified
ALVG.DE,06-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,07-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,08-OCT-2001,,End Of Day,,241,247.4,236.16,243.95,1155050,,,Verified
ALVG.DE,09-OCT-2001,,End Of Day,,241.8,249.9,241,246.7,729957,,,Verified
ALVG.DE,10-OCT-2001,,End Of Day,,245,257.4,243.65,256.65,958757,,,Verified
ALVG.DE,11-OCT-2001,,End Of Day,,259.2,267.95,256.2,266.01,1349698,,,Verified
ALVG.DE,12-OCT-2001,,End Of Day,,266.02,267.5,252.11,254.3,1199115,,,Verified
ALVG.DE,13-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,14-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,15-OCT-2001,,End Of Day,,252.49,255.15,245.01,249.75,877619,,,Verified
ALVG.DE,16-OCT-2001,,End Of Day,,249.5,256.5,246.31,255.01,935623,,,Verified
ALVG.DE,17-OCT-2001,,End Of Day,,257.26,263.5,254.17,255.4,1143946,,,Verified
ALVG.DE,18-OCT-2001,,End Of Day,,251,257.74,251,255,958561,,,Verified
ALVG.DE,19-OCT-2001,,End Of Day,,255.01,255.4,248.18,250.51,1150017,,,Verified
ALVG.DE,20-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,21-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,22-OCT-2001,,End Of Day,,250.76,261.76,249,261.76,597810,,,Verified
ALVG.DE,23-OCT-2001,,End Of Day,,265.11,268.01,261.5,263,1047805,,,Verified
ALVG.DE,24-OCT-2001,,End Of Day,,260.56,273.24,259.98,273,1104854,,,Verified
ALVG.DE,25-OCT-2001,,End Of Day,,271.6,278.9,269.5,272.3,1411248,,,Verified
